offset,topic,payload
1m0.1595943s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack06/energyValve/dp/feedback/value,"{""value"":81.5,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1598311s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH02/feedback/value,"{""value"":35.917706,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1637861s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase1/value,"{""value"":43.0,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1640871s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase3/value,"{""value"":42.989,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1643419s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase3/value,"{""value"":24.301,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1648721s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.058,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1650901s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase1/value,"{""value"":27.864,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1653061s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.902,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1662461s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/current/value,"{""value"":28.814346,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1670849s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":60.008,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1684131s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack02/energyValve/supplyTemperature/feedback/value,"{""value"":31.99,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.1700091s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp01/feedback/value,"{""value"":28.607422,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3279741s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase2/value,"{""value"":42.909,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3303532s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack03/energyValve/returnTemperature/feedback/value,"{""value"":46.11,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3315781s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""value"":32.340485,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3370091s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/supplyTemperature/feedback/value,"{""value"":33.02,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3375761s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.199,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3419181s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp02/feedback/value,"{""value"":27.727371,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3429321s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH02/feedback/value,"{""value"":29.949934,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3445291s,BMS/v1/PUB/Value/Sensor/AirDifferentialPressure/nvidia/titan/pod1C/rowE/environment/dp/dp02/feedback/value,"{""value"":0.05547595,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3694151s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E1/info/activePower/value,"{""value"":103.006996,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3701801s,BMS/v1/PUB/Value/Sensor/AirDifferentialPressure/nvidia/titan/pod1C/rowE/environment/dp/dp01/feedback/value,"{""value"":0.02970606,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3709191s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""value"":104.637,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3712031s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/frequency/value,"{""value"":60.006,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3736531s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/current/value,"{""value"":42.96602,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3754681s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack02/energyValve/dp/feedback/value,"{""value"":190.42,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3760991s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/maxCurrent/value,"{""value"":33.524,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3766629s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/activePower/value,"{""value"":19.097,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3768981s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack05/energyValve/dp/feedback/value,"{""value"":80.26,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3775983s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/maxCurrent/value,"{""value"":43.0,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m0.3778001s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase2/value,"{""value"":33.524,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.154094s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp02/feedback/value,"{""value"":24.669205,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1590383s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack03/energyValve/dp/feedback/value,"{""value"":79.11,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1615411s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH01/feedback/value,"{""value"":28.624207,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1624481s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack05/energyValve/flow/feedback/value,"{""value"":51.299,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1627281s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack06/energyValve/flow/feedback/value,"{""value"":50.186,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1649811s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack04/energyValve/flow/feedback/value,"{""value"":50.044,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1663341s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack06/energyValve/dp/feedback/value,"{""value"":81.54,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1698212s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase1/value,"{""value"":43.002,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1702041s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase3/value,"{""value"":42.994,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1705931s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase3/value,"{""value"":24.302,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1723181s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.061,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1727721s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack05/info/power/power/value,"{""value"":47.833,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1732461s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/apparentPower/value,"{""value"":19.411,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1741621s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.905,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1762669s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/current/value,"{""value"":28.81424,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1767761s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":60.007,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1772883s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E1/info/voltage/voltage/value,"{""value"":408.28,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1775511s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack04/info/power/power/value,"{""value"":47.757,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1789241s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp01/feedback/value,"{""value"":28.607544,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.180619s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase2/value,"{""value"":159.278,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.1808669s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase1/value,"{""value"":176.825,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3287211s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase2/value,"{""value"":42.908,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3301422s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E1/info/current/maxCurrent/value,"{""value"":161.908,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3328021s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""value"":408.46,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3333671s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""value"":32.34504,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3347871s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp01/feedback/value,"{""value"":26.405098,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3378051s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase3/value,"{""value"":161.908,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3399091s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/supplyTemperature/feedback/value,"{""value"":33.01,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3401882s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.202,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3416161s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E2/info/current/maxCurrent/value,"{""value"":176.83,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3442491s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack03/info/power/power/value,"{""value"":46.903,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3450041s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/returnTemperature/feedback/value,"{""value"":43.16,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.345634s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp02/feedback/value,"{""value"":27.727676,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.346411s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH02/feedback/value,"{""value"":29.950077,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3492811s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack02/info/power/power/value,"{""value"":35.208,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3505511s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase2/value,"{""value"":147.466,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3516483s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E1/info/activePower/value,"{""value"":103.015,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3531071s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""value"":104.644,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3535101s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/frequency/value,"{""value"":60.007,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3548281s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase3/value,"{""value"":162.265,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3563721s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/activePower/value,"{""value"":28.736,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3566403s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/current/value,"{""value"":42.96802,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3587191s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack02/energyValve/dp/feedback/value,"{""value"":190.36,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3593483s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack06/info/power/power/value,"{""value"":36.279,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3599211s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/maxCurrent/value,"{""value"":33.523,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3620581s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/maxCurrent/value,"{""value"":43.002,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3623049s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase2/value,"{""value"":33.523,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3638081s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack01/info/power/power/value,"{""value"":0.096,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3640561s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase1/value,"{""value"":152.545,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m1.3643403s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack04/energyValve/dp/feedback/value,"{""value"":78.95,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1497941s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp02/feedback/value,"{""value"":24.669846,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1530721s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack03/energyValve/dp/feedback/value,"{""value"":79.05,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1549621s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH01/feedback/value,"{""value"":28.619701,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1567191s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack03/energyValve/supplyTemperature/feedback/value,"{""value"":32.8,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1575281s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack05/energyValve/flow/feedback/value,"{""value"":50.989,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1579041s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack06/energyValve/flow/feedback/value,"{""value"":50.87,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1584491s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack02/energyValve/flow/feedback/value,"{""value"":50.419,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1594251s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack03/energyValve/flow/feedback/value,"{""value"":49.999,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1600281s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH02/feedback/value,"{""value"":35.913372,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1636441s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase1/value,"{""value"":43.0,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1638871s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase3/value,"{""value"":42.993,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1641242s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack04/energyValve/returnTemperature/feedback/value,"{""value"":46.83,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1653421s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.064995,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.1655652s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/apparentPower/value,"{""value"":19.414,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3600101s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase1/value,"{""value"":27.867,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3616211s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.911995,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3643193s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/current/value,"{""value"":28.81637,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3652021s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":60.008,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3677481s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack02/energyValve/supplyTemperature/feedback/value,"{""value"":31.98,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3725821s,BMS/v1/PUB/Value/Sensor/Sound/nvidia/titan/pod1C/rowE/environment/hotAisle/sound/sound02/feedback/value,"{""value"":69.50005,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3729001s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase2/value,"{""value"":42.912,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3740699s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E1/info/current/current/value,"{""value"":161.908,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3744731s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack03/energyValve/returnTemperature/feedback/value,"{""value"":46.1,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3750471s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""value"":408.48,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3752861s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""value"":32.34244,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3763273s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp01/feedback/value,"{""value"":26.405289,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3796699s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/supplyTemperature/feedback/value,"{""value"":33.0,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3798921s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.203,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3816071s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/returnTemperature/feedback/value,"{""value"":43.17,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3823221s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E2/info/current/current/value,"{""value"":176.825,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3834879s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH02/feedback/value,"{""value"":29.95339,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3842742s,BMS/v1/PUB/Value/Sensor/AirDifferentialPressure/nvidia/titan/pod1C/rowE/environment/dp/dp02/feedback/value,"{""value"":0.05478388,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3875801s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E1/info/activePower/value,"{""value"":103.014,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3889521s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""value"":104.646996,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3904241s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/current/value,"{""value"":42.968353,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3925161s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack02/energyValve/dp/feedback/value,"{""value"":190.27,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3933151s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/maxCurrent/value,"{""value"":33.526,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3940782s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/activePower/value,"{""value"":19.1,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3942892s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack05/energyValve/dp/feedback/value,"{""value"":80.19,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3947303s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack04/energyValve/supplyTemperature/feedback/value,"{""value"":32.91,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.3955251s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/maxCurrent/value,"{""value"":43.0,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m2.395767s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase2/value,"{""value"":33.526,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m3.1766771s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp02/feedback/value,"{""value"":24.66954,""timestamp"":{{timestamp_ms}},""quality"":1}"
