offset,topic,payload
82.8233ms,BMS/v1/PUB/Metadata/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/inlet/pressure/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidPressure"",""engUnit"":""kPa"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Primary"",""Inlet""]}"
90.1012ms,BMS/v1/PUB/Metadata/CDU/LiquidTemperature/nvidia/titan/pod1C/C-F00-CDU-05/primary/inlet/temperature/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidTemperature"",""engUnit"":""C"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Primary"",""Inlet""]}"
91.2759ms,BMS/v1/PUB/Metadata/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/outlet/pressure/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidPressure"",""engUnit"":""kPa"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Primary"",""Outlet""]}"
92.0081ms,BMS/v1/PUB/Metadata/CDU/LiquidTemperature/nvidia/titan/pod1C/C-F00-CDU-05/primary/outlet/temperature/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidTemperature"",""engUnit"":""C"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Primary"",""Outlet""]}"
94.5321ms,BMS/v1/PUB/Metadata/CDU/ValvePosition/nvidia/titan/pod1C/C-F00-CDU-05/primary/valve/valve1/positionSig/value,"{""objectType"":""CDU"",""pointType"":""ValvePosition"",""engUnit"":""%"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Primary""]}"
98.8191ms,BMS/v1/PUB/Metadata/CDU/ValvePosition/nvidia/titan/pod1C/C-F00-CDU-05/primary/valve/valve2/positionSig/value,"{""objectType"":""CDU"",""pointType"":""ValvePosition"",""engUnit"":""%"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Primary""]}"
101.6131ms,BMS/v1/PUB/Metadata/CDU/LiquidDifferentialPressure/nvidia/titan/pod1C/C-F00-CDU-05/secondary/dp/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidDifferentialPressure"",""engUnit"":""kPa"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary""]}"
105.5331ms,BMS/v1/PUB/Metadata/CDU/LiquidDifferentialPressure/nvidia/titan/pod1C/C-F00-CDU-05/secondary/dpSetpoint/rValue,"{""objectType"":""CDU"",""pointType"":""LiquidDifferentialPressure"",""engUnit"":""kPa"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary""],""isSetpoint"":true}"
109.025ms,BMS/v1/PUB/Metadata/CDU/PumpSpeed/nvidia/titan/pod1C/C-F00-CDU-05/secondary/fillPump/status/rValue,"{""objectType"":""CDU"",""pointType"":""PumpSpeed"",""stateText"":[{""value"":0,""text"":""Off""},{""value"":1,""text"":""On""}],""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Fill""]}"
113.0591ms,BMS/v1/PUB/Metadata/CDU/LiquidDifferentialPressure/nvidia/titan/pod1C/C-F00-CDU-05/secondary/filter/filter1/dp/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidDifferentialPressure"",""engUnit"":""kPa"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary"",""Filter1""]}"
